fight_date,fighter_red,fighter_blue,winner,red_age,blue_age,red_height_cm,blue_height_cm,red_reach_cm,blue_reach_cm,red_wins,blue_wins,red_losses,blue_losses,red_sig_str_acc,blue_sig_str_acc,red_takedown_acc,blue_takedown_acc,red_stance,blue_stance,target_red_win,age_diff,age_sum,height_cm_diff,height_cm_sum,reach_cm_diff,reach_cm_sum,wins_diff,wins_sum,losses_diff,losses_sum,sig_str_acc_diff,sig_str_acc_sum,takedown_acc_diff,takedown_acc_sum,red_win_rate,blue_win_rate,win_rate_diff,same_stance,red_stance_Open Stance,red_stance_Orthodox,red_stance_Sideways,red_stance_Southpaw,red_stance_Switch,red_stance_Unknown,blue_stance_Open Stance,blue_stance_Orthodox,blue_stance_Sideways,blue_stance_Southpaw,blue_stance_Switch,blue_stance_Unknown,fight_month,fight_year
1994-03-11,Scott Morris,Sean Daugherty,red,,18.27,177.8,182.88,,,2,0,1,2,0.0,0.0,0.0,0.0,Orthodox,Unknown,1,,,-5.079999999999984,360.68,,,2,2,-1,3,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1994
1994-03-11,Royce Gracie,Patrick Smith,red,27.24,30.54,185.42,187.96,,,15,20,2,17,0.41,0.0,0.0,0.0,Southpaw,Orthodox,1,-3.3000000000000007,57.78,-2.5400000000000205,373.38,,,-5,35,-15,19,0.41,0.41,0.0,0.0,0.8333333333333334,0.5263157894736842,0.3070175438596492,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1994
1994-03-11,Royce Gracie,Remco Pardoel,red,27.24,,185.42,190.5,,,15,9,2,6,0.41,0.0,0.0,0.0,Southpaw,Southpaw,1,,,-5.0800000000000125,375.91999999999996,,,6,24,-4,8,0.41,0.41,0.0,0.0,0.8333333333333334,0.5625,0.27083333333333337,1,0,0,0,1,0,0,0,0,0,1,0,0,3,1994
1994-03-11,Royce Gracie,Jason DeLucia,red,27.24,24.63,185.42,180.34,,,15,33,2,21,0.41,0.0,0.0,0.0,Southpaw,Southpaw,1,2.6099999999999994,51.87,5.079999999999984,365.76,,,-18,48,-19,23,0.41,0.41,0.0,0.0,0.8333333333333334,0.6,0.2333333333333334,1,0,0,0,1,0,0,0,0,0,1,0,0,3,1994
1994-03-11,Patrick Smith,Johnny Rhodes,red,30.54,,187.96,182.88,,,20,2,17,1,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,5.0800000000000125,370.84000000000003,,,18,22,16,18,0.0,0.0,0.0,0.0,0.5263157894736842,0.5,0.02631578947368418,1,0,1,0,0,0,0,0,1,0,0,0,0,3,1994
1994-03-11,Remco Pardoel,Orlando Wiet,red,,,190.5,177.8,,,9,1,6,5,0.0,0.0,0.0,0.0,Southpaw,Southpaw,1,,,12.699999999999989,368.3,,,8,10,1,11,0.0,0.0,0.0,0.0,0.5625,0.14285714285714285,0.41964285714285715,1,0,0,0,1,0,0,0,0,0,1,0,0,3,1994
1994-03-11,Johnny Rhodes,Fred Ettish,red,,,182.88,182.88,,,2,1,1,1,0.0,0.0,0.0,0.0,Orthodox,Southpaw,1,,,0.0,365.76,,,1,3,0,2,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.16666666666666669,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1994
1994-03-11,Patrick Smith,Ray Wizard,red,30.54,,187.96,,,,20,0,17,1,0.0,0.0,0.0,0.0,Orthodox,Unknown,1,,,,,,,20,20,16,18,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.5263157894736842,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1994
1994-03-11,Royce Gracie,Minoki Ichihara,red,27.24,,185.42,170.18,,,15,0,2,1,0.41,0.0,0.0,0.0,Southpaw,Orthodox,1,,,15.23999999999998,355.6,,,15,15,1,3,0.41,0.41,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1994
1994-03-11,Remco Pardoel,Alberta Cerra Leon,red,,,190.5,172.72,,,9,0,6,1,0.0,0.0,0.0,0.0,Southpaw,Unknown,1,,,17.78,363.22,,,9,9,5,7,0.0,0.0,0.0,0.0,0.5625,0.0,0.5625,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1994
