fight_date,fighter_red,fighter_blue,winner,red_age,blue_age,red_height_cm,blue_height_cm,red_reach_cm,blue_reach_cm,red_wins,blue_wins,red_losses,blue_losses,red_sig_str_acc,blue_sig_str_acc,red_takedown_acc,blue_takedown_acc,red_stance,blue_stance
2025-09-06,Benoit Saint Denis,Mauricio Ruffy,red,29.72,29.22,180.34,180.34,185.42,190.5,15,12,3,2,0.55,0.57,0.37,0.0,Southpaw,Orthodox
2025-09-06,Nassourdine Imavov,Caio Borralho,red,29.52,32.64,190.5,185.42,190.5,190.5,17,17,4,2,0.54,0.56,0.32,0.48,Orthodox,Southpaw
2025-09-06,Modestas Bukauskas,Paul Craig,red,31.57,37.78,190.5,190.5,193.04,193.04,19,17,6,10,0.43,0.45,0.66,0.18,Switch,Orthodox
2025-09-06,Bolaji Oki,Mason Jones,blue,29.81,30.37,177.8,177.8,185.42,187.96,10,17,3,2,0.44,0.41,0.6,0.55,Orthodox,Orthodox
2025-09-06,Axel Sola,Rhys McKee,red,27.97,29.99,187.96,187.96,187.96,198.12,11,14,0,7,0.42,0.4,0.25,0.0,Southpaw,Orthodox
2025-09-06,Oumar Sy,Brendson Ribeiro,red,29.79,28.99,193.04,190.5,210.82,205.74,12,17,1,9,0.48,0.42,0.36,0.42,Orthodox,Orthodox
2025-09-06,William Gomis,Robert Ruchala,red,28.23,27.31,182.88,172.72,185.42,182.88,15,11,3,2,0.49,0.35,0.38,0.33,Southpaw,Switch
2025-09-06,Marcin Tybura,Ante Delija,blue,39.82,35.08,190.5,190.5,198.12,198.12,27,26,10,6,0.48,0.46,0.33,0.0,Orthodox,Orthodox
2025-09-06,Harry Hardwick,Kaue Fernandes,blue,30.94,30.48,172.72,175.26,180.34,185.42,13,11,4,2,0.34,0.55,0.0,1.0,Switch,Orthodox
2025-09-06,Andreas Gustafsson,Rinat Fakhretdinov,blue,34.54,33.94,185.42,182.88,185.42,187.96,12,24,3,1,0.71,0.52,0.58,0.34,Orthodox,Orthodox
2025-09-06,Sam Patterson,Trey Waters,red,29.35,30.54,190.5,195.58,198.12,195.58,14,9,2,2,0.43,0.44,1.0,0.33,Orthodox,Orthodox
2025-09-06,Brad Tavares,Robert Bryczek,blue,37.71,35.18,185.42,182.88,187.96,190.5,21,18,12,6,0.43,0.36,0.26,1.0,Orthodox,Orthodox
2025-08-23,Johnny Walker,Zhang Mingyang,red,33.4,27.02,198.12,187.96,208.28,190.5,22,19,9,7,0.55,0.6,0.6,0.0,Orthodox,Orthodox
2025-09-06,Shauna Bannon,Sam Hughes,blue,31.87,33.19,165.1,165.1,165.1,162.56,7,11,2,6,0.43,0.46,0.0,0.35,Switch,Orthodox
2025-08-23,Brian Ortega,Aljamain Sterling,blue,34.5,36.06,172.72,170.18,175.26,180.34,16,25,5,5,0.37,0.52,0.25,0.3,Switch,Orthodox
2025-08-23,Sergei Pavlovich,Waldo Cortes-Acosta,red,33.28,33.89,190.5,193.04,213.36,198.12,20,14,3,2,0.44,0.48,0.25,0.5,Southpaw,Orthodox
2025-08-23,Sumudaerji,Kevin Borjas,red,29.59,27.71,172.72,165.1,182.88,172.72,18,10,7,4,0.52,0.44,0.11,0.0,Southpaw,Orthodox
